Nachname;Vorname;Kennung;Matrikelnr.;PV - Aufgabenblatt 01;PV - Aufgabenblatt 02;PV - Aufgabenblatt 03;PV - Aufgabenblatt 04 - Langzeit;Summe
Maximalpunktzahl;;;;75;60;75;75;285
Archi;Archimedes;aarchi;1000001;60;48;55;50;213
Crick;Francis;fcrick;1000006;20;15;;;35
Darwin;Charles;cdarwin;1000003;55;40;62;48;205
Galilei;Galileo;ggalilei;1000007;45;25;28;10;108
Hodgkin;Dorothy;dhodgkin;1000004;70;55;68;60;253
Kepler;Johannes;jkepler;1000010;52;45;58;40;195
Lamarr;Hedy;hlamarr;1000008;;;;;
Newton;Isaac;inewton;1000009;65;50;60;55;230
Pascal;Blaise;bpascal;1000002;30;20;25;15;90
Schrödinger;Erwin;eschroedinger;1000005;48;38;52;44;182
