"Status";"Anrede";"Titel";"Vorname";"Nachname";"Titel nachgestellt";"Benutzername";"Adresse";"Telefonnr.";"E-Mail";"Anmeldedatum";"Matrikelnummer";"Studiengänge";"Position"
"dozent";"Frau";"Prof. Dr.-Ing.";"Ada";"Lovelace";"";"alovelace";"";"";"ada@test.de";"17.04.2025 09:37:46";"";"";"0"
"dozent";"Herr";"";"Alan";"Turing";"M. Sc.";"aturing";"";"";"alan@test.de";"17.04.2025 09:37:46";"";"";"1"
"tutor";"Frau";"";"Grace";"Hopper";"";"ghopper";"";"";"grace@test.de";"17.04.2025 09:37:46";"";"";"2"
"tutor";"Herr";"";"Kurt";"Goedel";"";"kgoedel";"";"";"kurt@test.de";"17.04.2025 09:37:46";"";"";"3"
"autor";"Herr";"";"Archimedes";"Archi";"";"aarchi";"";"";"archimedes@test.de";"29.09.2025 15:43:38";"1000001";"Informatik,Bachelor of Science,3";"4"
"autor";"Herr";"";"Francis";"Crick";"";"fcrick";"";"";"francis@test.de";"29.09.2025 15:43:38";"1000006";"Wirtschaftsinformatik,Bachelor of Science,7";"5"
"autor";"Herr";"";"Charles";"Darwin";"";"cdarwin";"";"";"charles@test.de";"29.09.2025 15:43:38";"1000003";"Wirtschaftsinformatik,Bachelor of Science,3";"6"
"autor";"Herr";"";"Galileo";"Galilei";"";"ggalilei";"";"";"galileo@test.de";"29.09.2025 15:43:38";"1000007";"Informatik,Bachelor of Science,7";"7"
"autor";"Frau";"";"Dorothy";"Hodgkin";"";"dhodgkin";"";"";"dorothy@test.de";"29.09.2025 15:43:38";"1000004";"Informatik,Bachelor of Science,1";"8"
"autor";"Herr";"";"Johannes";"Kepler";"";"jkepler";"";"";"johannes@test.de";"29.09.2025 15:43:38";"1000010";"Mathematik,Bachelor of Science,5";"9"
"autor";"Frau";"";"Hedy";"Lamarr";"";"hlamarr";"";"";"hedy@test.de";"29.09.2025 15:43:38";"1000008";"Cognitive Science,Bachelor of Science,5";"10"
"autor";"Herr";"";"Isaac";"Newton";"";"inewton";"";"";"isaac@test.de";"29.09.2025 15:43:38";"1000009";"Informatik,Bachelor of Science,3";"11"
"autor";"Herr";"";"Blaise";"Pascal";"";"bpascal";"";"";"blaise@test.de";"29.09.2025 15:43:38";"1000002";"Informatik,Bachelor of Science,5";"12"
"autor";"Herr";"";"Erwin";"Schrödinger";"";"eschroedinger";"";"";"erwin@test.de";"29.09.2025 15:43:38";"1000005";"Informatik,Master of Science,1";"13"
